ID,RefSeq_accession_number,gene_symbol,gene_name
60,NP_001243000,RNF213,E3 ubiquitin-protein ligase RNF213 isoform 3
61,NP_004406,DSP,desmoplakin isoform I
62,NP_689916,SAMD9L,sterile alpha motif domain-containing protein 9-like
63,NP_060124,SAMD9,sterile alpha motif domain-containing protein 9
64,NP_443141,PLEKHG4B,pleckstrin homology domain-containing family G member 4B
65,NP_008835,PRKDC,DNA-dependent protein kinase catalytic subunit isoform 1
66,NP_000375,APOB,apolipoprotein B-100 precursor
67,NP_001447,FLNA,filamin-A isoform 1
68,NP_001157789,FLNB,filamin-B isoform 1
69,NP_001448,FLNB,filamin-B isoform 2
70,NP_001449,FLNC,filamin-C isoform a
71,NP_001120959,FLNC,filamin-C isoform b
72,NP_003119,SPTBN1,"spectrin beta chain, non-erythrocytic 1 isoform 1"
73,NP_842565,SPTBN1,"spectrin beta chain, non-erythrocytic 1 isoform 2"
74,NP_001020029,SPTB,"spectrin beta chain, erythrocytic isoform a"
75,NP_008877,SPTBN2,"spectrin beta chain, non-erythrocytic 2"
76,NP_000338,SPTB,"spectrin beta chain, erythrocytic isoform b"
77,NP_066022,SPTBN4,"spectrin beta chain, non-erythrocytic 4 isoform sigma1"
78,NP_001243415,GOLGB1,Golgin subfamily B member 1 isoform 1
79,NP_004478,GOLGB1,Golgin subfamily B member 1 isoform 2
80,NP_001243417,GOLGB1,Golgin subfamily B member 1 isoform 4
81,NP_005742,AKAP9,A-kinase anchor protein 9 isoform 2
82,NP_671714,AKAP9,A-kinase anchor protein 9 isoform 3
83,NP_005520,HSPG2,basement membrane-specific heparan sulfate proteoglycan core protein precursor
84,NP_004360,COL6A3,collagen alpha-3(VI) chain isoform 1 precursor
85,NP_476507,COL6A3,collagen alpha-3(VI) chain isoform 4 precursor
86,NP_065816,UBR4,E3 ubiquitin-protein ligase UBR4
87,NP_006280,TLN1,talin-1
88,NP_055874,TLN2,talin-2
89,NP_113584,HUWE1,E3 ubiquitin-protein ligase HUWE1
90,NP_612482,SP1,transcription factor Sp1 isoform a
91,NP_006176,NUMA1,nuclear mitotic apparatus protein 1
92,NP_006258,RANBP2,E3 SUMO-protein ligase RanBP2
93,NP_055185,SRPK3,SRSF protein kinase 3 isoform 1
94,NP_001137485,RANBP2,ranBP2-like and GRIP domain-containing protein 3
95,NP_005045,RANBP2,RANBP2-like and GRIP domain-containing protein 5/6 isoform 1
96,NP_872394,RANBP2,ranBP2-like and GRIP domain-containing protein 4
97,NP_001019628,RANBP2,RANBP2-like and GRIP domain-containing protein 1
98,NP_872634,SRPK2,SRSF protein kinase 2 isoform a
99,NP_005029,PPID,peptidyl-prolyl cis-trans isomerase D
100,NP_003128,SRPK1,SRSF protein kinase 1
101,NP_005720,PPIF,"peptidyl-prolyl cis-trans isomerase F, mitochondrial precursor"
102,NP_004095,FASN,fatty acid synthase
103,NP_002017,FN1,fibronectin isoform 3 preproprotein
104,NP_997647,FN1,fibronectin isoform 1 preproprotein
105,NP_997639,FN1,fibronectin isoform 6 preproprotein
106,NP_009055,UTRN,utrophin
107,NP_003997,DMD,dystrophin Dp427m isoform
108,NP_004005,DMD,dystrophin Dp116 isoform
109,NP_004007,DMD,dystrophin Dp71b isoform
110,NP_001164655,DRP2,dystrophin-related protein 2 isoform 2
111,NP_000055,C3,complement C3 precursor
112,NP_002323,LRP1,prolow-density lipoprotein receptor-related protein 1 precursor
113,NP_061027,LRP1B,low-density lipoprotein receptor-related protein 1B precursor
114,NP_065872,VPS13C,vacuolar protein sorting-associated protein 13C isoform 2A
115,NP_006827,GCN1L1,translational activator GCN1
116,NP_003117,SPTA1,"spectrin alpha chain, erythrocytic 1"
117,NP_612429,AHNAK2,protein AHNAK2
118,NP_003283,TPR,nucleoprotein TPR
119,NP_054733,SNRNP200,U5 small nuclear ribonucleoprotein 200 kDa helicase
120,NP_000468,ALB,serum albumin preproprotein
121,NP_004361,COL12A1,collagen alpha-1(XII) chain long isoform precursor
122,NP_004850,CLTC,clathrin heavy chain 1
123,NP_009029,CLTCL1,clathrin heavy chain 2 isoform 1
124,NP_003861,IQGAP1,ras GTPase-activating-like protein IQGAP1
125,NP_006624,IQGAP2,ras GTPase-activating-like protein IQGAP2
126,NP_839943,IQGAP3,ras GTPase-activating-like protein IQGAP3
127,NP_002696,PPL,periplakin
128,NP_002069,GOLGA4,Golgin subfamily A member 4 isoform 2
129,NP_001166184,GOLGA4,Golgin subfamily A member 4 isoform 1
130,NP_114141,HMCN1,hemicentin-1 precursor
131,NP_001254479,TTN,titin isoform IC
132,NP_001091738,LIG4,DNA ligase 4
133,NP_596870,TTN,titin isoform novex-3
134,NP_663304,MAP3K7,mitogen-activated protein kinase kinase kinase 7 isoform B
135,NP_003179,MAP3K7,mitogen-activated protein kinase kinase kinase 7 isoform A
136,NP_001229542,SPATA31A4,spermatogenesis-associated protein 31A4
137,NP_001138668,SPATA31A6,spermatogenesis-associated protein 31A6
138,NP_001014364,FLG2,filaggrin-2
139,NP_003741,EIF3A,eukaryotic translation initiation factor 3 subunit A
140,NP_003080,SNRNP70,U1 small nuclear ribonucleoprotein 70 kDa
141,NP_002895,RDBP,negative elongation factor E
142,NP_067051,SCAF1,"splicing factor, arginine/serine-rich 19"
143,NP_078873,MAP7D3,MAP7 domain-containing protein 3 isoform 1
144,NP_001166987,MAP7D3,MAP7 domain-containing protein 3 isoform 2
145,NP_065700,CBX8,chromobox protein homolog 8
146,NP_055107,CBX6,chromobox protein homolog 6
147,NP_002151,TNC,tenascin precursor
148,NP_061978,TNC,tenascin-X isoform 1 precursor
149,NP_006436,PRPF8,pre-mRNA-processing-splicing factor 8
150,NP_006717,LRBA,lipopolysaccharide-responsive and beige-like anchor protein isoform 2
151,NP_001186211,LRBA,lipopolysaccharide-responsive and beige-like anchor protein isoform 1
152,NP_056493,NBEA,neurobeachin isoform 1
153,NP_004230,TRIP11,thyroid receptor-interacting protein 11
154,NP_510880,MYO18A,unconventional myosin-XVIIIa isoform a
155,NP_004516,LRP2,low-density lipoprotein receptor-related protein 2 precursor
156,NP_579899,MYOF,myoferlin isoform b
157,NP_038479,MYOF,myoferlin isoform a
158,NP_001124459,DYSF,dysferlin isoform 1
159,NP_001124453,DYSF,dysferlin isoform 14
160,NP_001229752,C4B,complement C4-B-like preproprotein
161,NP_001002029,C4B,complement C4-B preproprotein
162,NP_009224,C4A,complement C4-A isoform 1 preproprotein
163,NP_000543,VWF,von Willebrand factor preproprotein
164,NP_057336,BIRC6,baculoviral IAP repeat-containing protein 6
165,NP_005551,LAMA5,laminin subunit alpha-5 precursor
166,NP_937762,LAMA3,laminin subunit alpha-3 isoform 1 precursor
167,NP_004437,EPRS,bifunctional glutamate/proline--tRNA ligase
168,NP_005900,MAP1B,microtubule-associated protein 1B
169,NP_002364,MAP1A,microtubule-associated protein 1A
170,NP_055987,BAT2L2,protein PRRC2C
171,NP_542417,BAT2,protein PRRC2A
172,NP_037450,BAT2L1,protein PRRC2B
173,NP_001264,CHD4,chromodomain-helicase-DNA-binding protein 4
174,NP_001005271,CHD3,chromodomain-helicase-DNA-binding protein 3 isoform 3
175,NP_056372,CHD5,chromodomain-helicase-DNA-binding protein 5
176,NP_001034679,USP9X,probable ubiquitin carboxyl-terminal hydrolase FAF-X isoform 3
177,NP_004645,USP9Y,probable ubiquitin carboxyl-terminal hydrolase FAF-Y
178,NP_001008938,CKAP5,cytoskeleton-associated protein 5 isoform a
179,NP_005091,AKAP12,A-kinase anchor protein 12 isoform 1
180,NP_942133,ACACA,acetyl-CoA carboxylase 1 isoform 2
181,NP_001084,ACACB,acetyl-CoA carboxylase 2 precursor
182,NP_004332,CAD,CAD protein
183,NP_002449,MUC5B,mucin-5B precursor
184,XP_003960896,MUC5AC,"PREDICTED: mucin-5AC, partial"
185,XP_003960532,MUC5AC,PREDICTED: mucin-5AC-like
186,NP_203754,TNKS1BP1,182 kDa tankyrase-1-binding protein
187,NP_001979,EVPL,envoplakin
188,NP_001138599,EVPLL,envoplakin-like protein
189,NP_001072989,KTN1,kinectin isoform a
190,NP_001072990,KTN1,kinectin isoform b
191,NP_000005,A2M,alpha-2-macroglobulin precursor
192,NP_002855,PZP,pregnancy zone protein precursor
193,NP_573566,LRPPRC,"leucine-rich PPR motif-containing protein, mitochondrial precursor"
194,NP_057427,CENPF,centromere protein F
195,NP_003364,VCL,vinculin isoform VCL
196,NP_056083,DNAJC13,dnaJ homolog subfamily C member 13
197,NP_001123476,ACTN1,alpha-actinin-1 isoform a
198,NP_001093,ACTN1,alpha-actinin-1 isoform b
199,NP_004915,ACTN4,alpha-actinin-4
200,NP_001265272,ACTN2,alpha-actinin-2 isoform 2
201,NP_001095,ACTN3,alpha-actinin-3 isoform 1
202,NP_055426,MDN1,midasin
203,NP_062536,KIAA1217,sickle tail protein homolog isoform 1
204,NP_009131,AKAP13,A-kinase anchor protein 13 isoform 2
205,NP_001257475,AKAP13,A-kinase anchor protein 13 isoform 4
206,NP_001231509,TRRAP,transformation/transcription domain-associated protein isoform 1
207,NP_003557,EEA1,early endosome antigen 1
208,NP_055710,KIAA1009,centrosomal protein of 162 kDa
209,NP_115645,CCDC135,coiled-coil domain-containing protein lobo homolog
210,NP_055872,MYCBP2,probable E3 ubiquitin-protein ligase MYCBP2
211,NP_004362,COPA,coatomer subunit alpha isoform 2
212,NP_001091868,COPA,coatomer subunit alpha isoform 1
213,NP_006297,SMC1A,structural maintenance of chromosomes protein 1A
214,NP_004990,MYO6,unconventional myosin-VI
215,NP_056234,MXRA5,matrix-remodeling-associated protein 5 precursor
216,NP_056110,SMCHD1,structural maintenance of chromosomes flexible hinge domain-containing protein 1
217,NP_001243194,FLII,protein flightless-1 homolog isoform 3
218,NP_001243193,FLII,protein flightless-1 homolog isoform 2
219,NP_006022,PCNT,pericentrin
220,NP_000129,FBN1,fibrillin-1 precursor
221,NP_001990,FBN2,fibrillin-2 precursor
222,NP_000928,POLR2A,DNA-directed RNA polymerase II subunit RPB1
223,NP_940980,LRRK2,leucine-rich repeat serine/threonine-protein kinase 2
224,NP_068506,SVIL,supervillin isoform 2
225,NP_003165,SVIL,supervillin isoform 1
226,NP_001059,TOP2B,DNA topoisomerase 2-beta
227,NP_001058,TOP2A,DNA topoisomerase 2-alpha
228,NP_066933,COL14A1,collagen alpha-1(XIV) chain precursor
229,NP_005436,SMC3,structural maintenance of chromosomes protein 3
230,NP_066267,ANK3,ankyrin-3 isoform 1
231,NP_001191333,ANK3,ankyrin-3 isoform 4
232,NP_001191332,ANK3,ankyrin-3 isoform 3
233,NP_000028,ANK1,ankyrin-1 isoform 3
234,NP_065210,ANK1,ankyrin-1 isoform 2
235,NP_001139,ANK2,ankyrin-2 isoform 1
236,NP_066187,ANK2,ankyrin-2 isoform 2
237,NP_001140,ANK3,ankyrin-3 isoform 2
238,NP_055458,ZNF516,zinc finger protein 516
239,NP_733821,LMNA,lamin isoform A
240,NP_733822,LMNA,lamin isoform A-delta10
241,NP_005563,LMNA,lamin isoform C
242,NP_116126,LMNB2,lamin-B2
243,NP_005564,LMNB1,lamin-B1 isoform 1
244,NP_001185486,LMNB1,lamin-B1 isoform 2
245,NP_009049,TRIO,triple functional domain protein
246,NP_001019831,KALRN,kalirin isoform 1
247,NP_008995,KALRN,kalirin isoform 3
248,NP_001135452,TP53BP1,tumor suppressor p53-binding protein 1 isoform 1
249,NP_444253,MYLK,"myosin light chain kinase, smooth muscle isoform 1"
250,NP_444254,MYLK,"myosin light chain kinase, smooth muscle isoform 2"
251,NP_444259,MYLK,"myosin light chain kinase, smooth muscle isoform 7"
252,NP_004949,MTOR,serine/threonine-protein kinase mTOR
253,NP_005723,RAD50,DNA repair protein RAD50
254,NP_000867,IGF2R,cation-independent mannose-6-phosphate receptor precursor
255,NP_001054,TF,serotransferrin precursor
256,NP_002283,LAMB2,laminin subunit beta-2 precursor
257,NP_031382,LAMB4,laminin subunit beta-4 precursor
258,NP_000019,AGL,glycogen debranching enzyme isoform 1
259,NP_060024,PARP14,poly
260,NP_001193937,MLLT4,afadin isoform 1
261,NP_001035089,MLLT4,afadin isoform 2
262,NP_002284,LAMC1,laminin subunit gamma-1 precursor
263,NP_006050,LAMC3,laminin subunit gamma-3 precursor
264,NP_996744,TACC2,transforming acidic coiled-coil-containing protein 2 isoform a
265,NP_006274,TACC1,transforming acidic coiled-coil-containing protein 1 isoform 1
266,NP_852118,GCC2,GRIP and coiled-coil domain-containing protein 2
267,NP_055490,CROCC,rootletin
268,NP_001098677,LAMA4,laminin subunit alpha-4 isoform 2 precursor
269,NP_009057,VCP,transitional endoplasmic reticulum ATPase
270,NP_000457,PEX1,peroxisome biogenesis factor 1
271,NP_006787,AFG3L2,AFG3-like protein 2
272,NP_002524,NVL,nuclear valosin-containing protein-like isoform 1
273,NP_000278,PEX6,peroxisome biogenesis factor 6
274,NP_112593,KATNAL2,katanin p60 ATPase-containing subunit A-like 2
275,NP_065871,PREX1,"phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein"
276,NP_006819,ASCC3,activating signal cointegrator 1 complex subunit 3 isoform a
277,NP_071374,ASCC3,activating signal cointegrator 1 complex subunit 3 isoform b
278,NP_683692,BOD1L,biorientation of chromosomes in cell division protein 1-like 1
279,NP_612378,BOD1,biorientation of chromosomes in cell division protein 1 isoform a
280,NP_005327,HDLBP,vigilin isoform a
281,NP_001230829,HDLBP,vigilin isoform b
282,NP_056197,HECTD1,E3 ubiquitin-protein ligase HECTD1
283,NP_115927,TTBK1,tau-tubulin kinase 1
284,NP_001258898,HSP90B,heat shock protein HSP 90-beta isoform a
285,NP_001017963,HSP90A,heat shock protein HSP 90-alpha isoform 1
286,NP_003290,HSP90B1,endoplasmin precursor
287,NP_057376,TRAP1,"heat shock protein 75 kDa, mitochondrial isoform 1 precursor"
288,NP_001615,AIM1,absent in melanoma 1 protein
289,NP_001092693,IFT74,intraflagellar transport protein 74 homolog isoform a
290,NP_002408,MKI67,antigen KI-67 isoform 1
291,NP_055873,KIAA0564,von Willebrand factor A domain-containing protein 8 isoform a precursor
292,NP_001009814,KIAA0564,von Willebrand factor A domain-containing protein 8 isoform b precursor
293,NP_002263,KRT4,"keratin, type II cytoskeletal 4"
294,NP_003371,VIM,vimentin
295,NP_872313,KRT80,"keratin, type II cytoskeletal 80 isoform K80"
296,NP_778253,KRT77,"keratin, type II cytoskeletal 1b"
297,NP_006112,KRT1,"keratin, type II cytoskeletal 1"
298,NP_005373,NEFM,neurofilament medium polypeptide isoform 1
299,NP_000414,KRT2,"keratin, type II cytoskeletal 2 epidermal"
300,NP_006253,PRPH,peripherin
301,NP_006149,NEFL,neurofilament light polypeptide
302,NP_002275,KRT86,"keratin, type II cuticular Hb6"
303,NP_066554,NEFH,neurofilament heavy polypeptide
304,NP_002272,KRT81,"keratin, type II cuticular Hb1"
305,NP_001243211,KRT8,"keratin, type II cytoskeletal 8 isoform 1"
306,NP_476429,KRT3,"keratin, type II cytoskeletal 3"
307,NP_002046,GFAP,glial fibrillary acidic protein isoform 1
308,NP_116116,INA,alpha-internexin
309,NP_542785,KRT72,"keratin, type II cytoskeletal 72 isoform 1"
310,NP_001099011,NEFM,neurofilament medium polypeptide isoform 2
311,NP_057613,ATP8A2,probable phospholipid-transporting ATPase IB
312,NP_778223,KRT74,"keratin, type II cytoskeletal 74"
313,NP_005547,KRT7,"keratin, type II cytoskeletal 7"
314,NP_149034,KRT84,"keratin, type II cuticular Hb4"
315,NP_258259,KRT71,"keratin, type II cytoskeletal 71"
316,NP_778238,KRT73,"keratin, type II cytoskeletal 73"
317,NP_775487,KRT78,"keratin, type II cytoskeletal 78"
318,NP_149022,KRT82,"keratin, type II cuticular Hb2"
319,NP_001918,DES,desmin
320,NP_000415,KRT5,"keratin, type II cytoskeletal 5"
321,NP_005546,KRT6B,"keratin, type II cytoskeletal 6B"
322,NP_005545,KRT6A,"keratin, type II cytoskeletal 6A"
323,NP_004684,KRT75,"keratin, type II cytoskeletal 75"
324,NP_787028,KRT79,"keratin, type II cytoskeletal 79"
325,NP_001609,PARP1,poly
326,NP_001073867,KIAA0368,proteasome-associated protein ECM29 homolog
327,NP_055816,SPEN,msx2-interacting protein
328,NP_056069,KIF13B,kinesin-like protein KIF13B
329,NP_006603,KIF1C,kinesin-like protein KIF1C
330,NP_008985,KIF3A,kinesin-like protein KIF3A
331,NP_004789,KIF3B,kinesin-like protein KIF3B
332,NP_065810,STARD9,stAR-related lipid transfer protein 9
333,NP_002245,KIF3C,kinesin-like protein KIF3C
334,NP_001092763,KIF4B,chromosome-associated kinesin KIF4B
335,NP_878905,KIF9,kinesin-like protein KIF9 isoform 2
336,NP_005541,KIFC3,kinesin-like protein KIFC3 isoform 1
337,NP_065867,KIF17,kinesin-like protein KIF17 isoform a
338,NP_659464,KIF6,kinesin-like protein KIF6
339,NP_078980,KIF16B,kinesin-like protein KIF16B isoform 2
340,NP_055889,KIF1B,kinesin-like protein KIF1B isoform b
341,NP_071396,KIF13A,kinesin-like protein KIF13A isoform a
342,NP_001099038,KIF13A,kinesin-like protein KIF13A isoform d
343,NP_001186795, KIF16B,kinesin-like protein KIF16B isoform 1
344,NP_004312,KIF1A,kinesin-like protein KIF1A isoform 2
345,NP_036442,KIF4A,chromosome-associated kinesin KIF4A
346,NP_904325,KIF1B,kinesin-like protein KIF1B isoform alpha
347,NP_036565,SF3B1,splicing factor 3B subunit 1 isoform 1
348,NP_005886,GOLGA3,Golgin subfamily A member 3 isoform 1
349,NP_003161,SUPT6H,transcription elongation factor SPT6
350,NP_003237,THBS1,thrombospondin-1 precursor
351,NP_003238,THBS2,thrombospondin-2 precursor
352,NP_002102,HTT,huntingtin
353,NP_006608,NES,nestin
354,NP_056986,UBR5,E3 ubiquitin-protein ligase UBR5
355,NP_062535,YLPM1,YLP motif-containing protein 1
356,NP_003248,TJP1,tight junction protein ZO-1 isoform a
357,NP_783297,TJP1,tight junction protein ZO-1 isoform b
358,NP_004136,MYO9B,unconventional myosin-IXb isoform 1
359,NP_008832,MYO9A,unconventional myosin-IXa
360,NP_001952,EEF2,elongation factor 2
361,NP_001716,BPI,bactericidal permeability-increasing protein precursor
362,NP_004841,ROCK2,rho-associated protein kinase 2
363,NP_005397,ROCK1,rho-associated protein kinase 1
364,NP_001181875,EIF4G1,eukaryotic translation initiation factor 4 gamma 1 isoform 6
365,NP_886553,EIF4G1,eukaryotic translation initiation factor 4 gamma 1 isoform 1
366,NP_937887,EIF4G1,eukaryotic translation initiation factor 4 gamma 1 isoform 2
367,NP_937885,EIF4G1,eukaryotic translation initiation factor 4 gamma 1 isoform 3
368,NP_001185730,EIF4G3,eukaryotic translation initiation factor 4 gamma 3 isoform 1
369,NP_001263347,SEC16A,protein transport protein Sec16A isoform 2
370,NP_055681,SEC16A,protein transport protein Sec16A isoform 1
371,NP_056193,VPS13D,vacuolar protein sorting-associated protein 13D isoform 1
372,NP_001511,GTF3C1,general transcription factor 3C polypeptide 1
373,NP_072174,TNS1,tensin-1
374,NP_073585,TNS3,tensin-3
375,NP_056134,TENC1,tensin-like C1 domain-containing phosphatase isoform 1
376,NP_065821,CGN,cingulin
377,NP_002282,LAMB1,laminin subunit beta-1 precursor
378,NP_001193583,NCOR2,nuclear receptor corepressor 2 isoform 3
379,NP_006303,NCOR2,nuclear receptor corepressor 2 isoform 1
380,NP_006302,NCOR1,nuclear receptor corepressor 1 isoform 1
381,NP_569707,PTPRF,receptor-type tyrosine-protein phosphatase F isoform 2 precursor
382,NP_570924,PTPRS,receptor-type tyrosine-protein phosphatase S isoform 2 precursor
383,NP_002841,PTPRS,receptor-type tyrosine-protein phosphatase S isoform 1 precursor
384,NP_002830,PTPRD,receptor-type tyrosine-protein phosphatase delta isoform 1 precursor
385,NP_663780,SYNM,synemin isoform A
386,NP_056101,SYNM,synemin isoform B
387,NP_000417,LAMA2,laminin subunit alpha-2 isoform a precursor
388,NP_001073291,LAMA2,laminin subunit alpha-2 isoform b precursor
389,NP_005550,LAMA1,laminin subunit alpha-1 precursor
390,NP_064505,UGGT1,UDP-glucose:glycoprotein glucosyltransferase 1 precursor
391,NP_064506,UGGT2,UDP-glucose:glycoprotein glucosyltransferase 2 precursor
392,NP_149072,DIDO1,death-inducer obliterator 1 isoform c
393,NP_055968,PHF3,PHD finger protein 3
394,NP_056121,USP24,ubiquitin carboxyl-terminal hydrolase 24
395,NP_006026,CDC42BPB,serine/threonine-protein kinase MRCK beta
396,NP_003598,CDC42BPA,serine/threonine-protein kinase MRCK alpha isoform B
397,NP_055641,CDC42BPA,serine/threonine-protein kinase MRCK alpha isoform A
398,NP_059995,CDC42BPG,serine/threonine-protein kinase MRCK gamma
399,NP_001075031,DMPK,myotonin-protein kinase isoform 4
400,NP_055907,SMG1,serine/threonine-protein kinase SMG1
401,XP_003960679,SMG1L,PREDICTED: serine/threonine-protein kinase SMG1-like
402,XP_003960702,SMG1L,PREDICTED: serine/threonine-protein kinase SMG1-like
403,XP_003960698,SMG1L,PREDICTED: serine/threonine-protein kinase SMG1-like
404,NP_056993,NBAS,neuroblastoma-amplified sequence
405,NP_001157968,WDR52,WD repeat-containing protein 52 isoform 1
406,NP_078789,FYCO1,FYVE and coiled-coil domain-containing protein 1
407,NP_006188,PCM1,pericentriolar material 1 protein
408,NP_003461,USP7,ubiquitin carboxyl-terminal hydrolase 7
409,NP_000042,ATM,serine-protein kinase ATM
410,NP_705833,CRYBG3,beta/gamma crystallin domain-containing protein 3
411,NP_055791,PDCD11,protein RRP5 homolog
412,NP_000480,ATRX,transcriptional regulator ATRX isoform 1
413,NP_612114,ATRX,transcriptional regulator ATRX isoform 2
414,NP_060473,UACA,uveal autoantigen with coiled-coil domains and ankyrin repeats isoform 1
415,NP_055928,ZZEF1,zinc finger ZZ-type and EF-hand domain-containing protein 1
416,NP_006466,POSTN,periostin isoform 1 precursor
417,NP_001129406,POSTN,periostin isoform 2 precursor
418,NP_001129407,POSTN,periostin isoform 3 precursor
419,NP_597677,NIPBL,nipped-B-like protein isoform A
420,NP_002366,MAP4,microtubule-associated protein 4 isoform 1
421,NP_001102,ADAR,double-stranded RNA-specific adenosine deaminase isoform a
422,NP_056655,ADAR,double-stranded RNA-specific adenosine deaminase isoform b
423,NP_001234926,CLIP1,CAP-Gly domain-containing linker protein 1 isoform c
424,NP_937883,CLIP1,CAP-Gly domain-containing linker protein 1 isoform b
425,NP_115797,CLIP2,CAP-Gly domain-containing linker protein 2 isoform 2
426,NP_001103132,HECTD4,probable E3 ubiquitin-protein ligase HECTD4
427,NP_006411,ARFGEF2,brefeldin A-inhibited guanine nucleotide-exchange protein 2
428,NP_006412,ARFGEF1,brefeldin A-inhibited guanine nucleotide-exchange protein 1
429,NP_004753,CYTH1,cytohesin-1 isoform 1
430,NP_059431,CYTH2,cytohesin-2 isoform 1
431,NP_004218,CYTH3,cytohesin-3
432,NP_037517,CYTH4,cytohesin-4
433,NP_002215,ITPR3,"inositol 1,4,5-trisphosphate receptor type 3"
434,NP_002214,ITPR2,"inositol 1,4,5-trisphosphate receptor type 2"
435,NP_001161744,ITPR1,"inositol 1,4,5-trisphosphate receptor type 1 isoform 3"
436,NP_002213,ITPR1,"inositol 1,4,5-trisphosphate receptor type 1 isoform 2"
437,NP_149129,CALD1,caldesmon isoform 1
438,NP_149130,CALD1,caldesmon isoform 4
439,NP_004333,CALD1,caldesmon isoform 2
440,NP_001124295,DNMT1,DNA (cytosine-5)-methyltransferase 1 isoform a
441,NP_001370,DNMT1,DNA (cytosine-5)-methyltransferase 1 isoform b
442,NP_056988,EIF5B,eukaryotic translation initiation factor 5B
443,NP_002853,PYGB,"glycogen phosphorylase, brain form"
444,NP_002854,PYGL,"glycogen phosphorylase, liver form isoform 1"
445,NP_005600,PYGM,"glycogen phosphorylase, muscle form isoform 1"
446,NP_001726,C5,complement C5 preproprotein
447,NP_060918,CAND1,cullin-associated NEDD8-dissociated protein 1
448,NP_001155971,CAND2,cullin-associated NEDD8-dissociated protein 2 isoform 1
449,NP_055847,PDS5B,sister chromatid cohesion protein PDS5 homolog B
450,NP_001093869,PDS5A,sister chromatid cohesion protein PDS5 homolog A isoform 1
451,NP_003881,FCGBP,IgGFc-binding protein precursor
452,NP_001422,EPB41L2,band 4.1-like protein 2 isoform a
453,NP_001186318,EPB41L2,band 4.1-like protein 2 isoform c
454,NP_036439,EPB41L3,band 4.1-like protein 3
455,NP_001245258,EPB41L1,band 4.1-like protein 1 isoform c
